,file,size(byte),size(MB),size(GB),atime,mtime,ctime
86,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2d\c096c50c09f6647bbda7c081e350c1e7c9bc6a,171,0,0,2022-09-04 11:58:54,2022-08-14 11:59:41,2022-08-14 11:59:41
87,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2e\4cfeec47db4aad03cad5f966043acb6869c3a8,3570,0,0,2022-08-21 09:34:18,2022-08-20 18:12:12,2022-08-20 18:12:12
88,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2e\6e2ba34aa29535ce33deeebeb9da39e56f1331,31310,0,0,2022-08-30 02:07:31,2022-08-30 01:43:44,2022-08-30 01:43:44
89,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2e\f3d3baff42066670797b1ead91f9d80b504bef,174,0,0,2022-09-04 11:58:54,2022-08-14 11:58:28,2022-08-14 11:58:28
90,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2f\42fdf45f17eaa448bb75b00cf128a1c84adb68,149,0,0,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
91,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2f\a181d8754f17b45db8772788e48a151414c530,114,0,0,2022-08-20 19:05:32,2022-08-02 18:16:01,2022-08-02 18:16:01
92,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\30\aba3f3b56cb550c4b58d1986d34f4f45552f0e,149,0,0,2022-08-20 19:05:32,2022-07-30 17:26:41,2022-07-30 17:26:41
93,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\30\f9c2e2996944bbdd49b99a7a0905ba77265550,1836,0,0,2022-08-20 19:05:32,2022-08-05 21:33:08,2022-08-05 21:33:08
94,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\31\d54f3f55485ea1bc18cf93d81700171f25a325,150,0,0,2022-08-20 19:05:32,2022-08-14 21:44:19,2022-08-14 21:44:19
95,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\32\092369b3e26437e0b843cb4312ad3dad2cf13e,540,0,0,2022-08-20 19:05:32,2022-08-15 17:05:49,2022-08-15 17:05:49
